"cancer_type","r_fl_fe","pval_fl_fe","r_fl_re","pval_fl_re","I2_lower","I2_upper"
"Kidney",0.986353179129442,2.65008476713336e-61,0.948973879621609,7.7800656666837e-40,74,4
"Lung",0.999415616129805,4.98705667876332e-10,0.988156310061646,4.11656847160616e-06,7,1
"Melanoma",0.886712067137826,3.03490649405075e-32,0.909140971992894,2.21562972229813e-36,80,13
