"","Gene","coef.FL","se.FL","Pval.FL","Cancer_type","Coef.fixed","SE.fixed","CI_lower.fixed","CI_upper.fixed","Pval.fixed","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR","FDR.fixed","FDR.FL"
"165","PER1",-0.0812780238859002,0.117710128239935,0.48988418746989,"Melanoma",-0.0228254999628546,0.152735822462558,-0.322182211138571,0.276531211212862,0.881203048074559,-0.0207183145784889,0.158333786914998,-0.331046834467725,0.289610205310747,0.895892277159944,0,0.466692042305457,0.944582074831681,0.928812188900102,0.638410893069439
"166","TIGIT",-0.598706804305176,0.143456757319744,3.00047238184154e-05,"Melanoma",-0.535043474633751,0.239006539892884,-1.00348768489334,-0.0665992643741622,0.0251810184520511,-0.571785940291075,0.295041780595291,-1.15005720419241,0.0064853236102632,0.052625302736813,0.260284962740677,0.255520913929245,0.268666019235308,0.122127939492448,0.00279043931511263
"167","TSC22D2",-0.128370118903506,0.120196335888033,0.285518889894792,"Melanoma",-0.109423570022227,0.151322871856532,-0.406010948898199,0.187163808853744,0.46961032430291,-0.10942346981188,0.15132303796747,-0.406011174259309,0.187164234635549,0.469611218758871,0,0.602377197161815,0.736654669634541,0.711753147771598,0.421480266035169
"168","ZNF165",0.0995320891405496,0.115586885892072,0.389181912914193,"Melanoma",0.121240901953689,0.213254666981412,-0.296730564864961,0.539212368772339,0.569677604347685,0.152344673434334,0.317665216022416,-0.470267709110737,0.774957055979404,0.63152878141611,0.496610262107603,0.0935715950418796,0.839154682155654,0.756968871530485,0.524549534797391
"169","CXCR4",-0.247383311340925,0.107059635151724,0.0208491150780306,"Melanoma",-0.246897946430698,0.164785468784256,-0.569871530423389,0.0760756375619928,0.134055515485928,-0.246897946430698,0.164785468784256,-0.569871530423389,0.0760756375619928,0.134055515485928,0,0.649288436770965,0.371525285775286,0.333420128259872,0.0605927406955266
"170","NR4A1",-0.0489241030988141,0.101882712152876,0.631085014316522,"Melanoma",-0.0076436451500451,0.172335367321043,-0.34541475836177,0.33012746806168,0.964622772762801,-0.0076436451500451,0.172335367321043,-0.34541475836177,0.33012746806168,0.964622772762801,0,0.531530296912614,0.995408605936081,0.984930620610439,0.733636329142957
"171","SDCBP",0.118842815537788,0.101148968021367,0.240023281744661,"Melanoma",0.118607432564102,0.128966569023893,-0.134162397932428,0.371377263060631,0.357742202435211,0.118607331562286,0.12896966854912,-0.134168573892057,0.37138323701663,0.357754165563896,0.240722465085965,0.237293062096756,0.6440919755645,0.608789362038868,0.398610092897384
"172","RUBCNL",0.0721338129889536,0.134182409605517,0.590866869848376,"Melanoma",-0.0023284639214513,0.166388056667682,-0.328443062447717,0.323786134604815,0.988834626636323,-0.0023284639214513,0.166388056667682,-0.328443062447717,0.323786134604815,0.988834626636323,0,0.879840295208489,0.996290200179654,0.996290200179654,0.715486903088006
"173","FCMR",-0.548591745175454,0.156922356619918,0.000472388119638751,"Melanoma",-0.45935527008058,0.197736813080796,-0.84691230213667,-0.071798238024491,0.0201757150717395,-0.544101195969762,0.323631140243967,-1.17840657512357,0.0902041831840438,0.092716560210907,0.613899352752423,0.023851938430351,0.327757820894228,0.116900501116685,0.00439572713541864
"174","PRMT9",-0.000965562941217318,0.134311746064442,0.99426408225666,"Melanoma",0.0007650702943672,0.16454676961642,-0.321740671926225,0.323270812514959,0.996290200179654,0.0007650702943672,0.16454676961642,-0.321740671926225,0.323270812514959,0.996290200179654,0,0.687471806886162,0.996290200179654,0.996290200179654,0.99426408225666
"175","BORCS5",0.0586988892873679,0.134263988882758,0.66197347500761,"Melanoma",-0.0406389614136688,0.201816176529529,-0.436191398909124,0.354913476081786,0.840412223580604,-0.0406389614136688,0.201816176529529,-0.436191398909124,0.354913476081786,0.840412223580604,0,0.455270689302205,0.935518460353987,0.928812188900102,0.760043619453182
"176","IQCN",0.0730899600760949,0.189134692047002,0.699167895710227,"Melanoma",0.0708618269024851,0.222842695789063,-0.365901831061893,0.507625484866863,0.750492256627904,0.148422569241695,0.37468638842397,-0.585949257566672,0.882794396050062,0.69201296664314,0.615582682061299,0.0341259254366913,0.871756594342657,0.887777425523252,0.783404991578929
"177","CEMIP2",0.0745053006635425,0.189082469891265,0.69355445856159,"Melanoma",0.0732529825761245,0.201571305138721,-0.321819515812502,0.468325480964751,0.71629880108046,0.0732529825761245,0.201571305138721,-0.321819515812502,0.468325480964751,0.71629880108046,0,0.671954759213496,0.877371658172152,0.879506122845628,0.783404991578929
"178","TENT5C",-0.393414751846099,0.196991419043933,0.0458125628169965,"Melanoma",-0.270768099909041,0.226899063557681,-0.715482092607961,0.173945892789879,0.232735602137414,-0.373753708617861,0.371082206914462,-1.10106146947385,0.353554052238124,0.313839048801729,0.586467076987359,0.046316151562842,0.608847754675354,0.460721498108757,0.101442103380492
"179","CCL5",-0.558471956938269,0.1874437295732,0.00288802876927894,"Melanoma",-0.336444737237211,0.252244949710884,-0.83083575395266,0.157946279478238,0.182268860867089,-0.482691734214528,0.449274167306342,-1.36325292131918,0.397869452890125,0.282651849841323,0.62010121402329,0.0323982214829686,0.571192279887674,0.384349554437123,0.0157992162084083
