"","Gene","coef.FL","se.FL","Pval.FL","Cancer_type","Coef.fixed","SE.fixed","CI_lower.fixed","CI_upper.fixed","Pval.fixed","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR","FDR.fixed","FDR.FL"
"120","ALG13",0.0582501095722154,0.115888250228342,0.61521716147592,"Melanoma",0.132583006074226,0.137821677644082,-0.137542518397063,0.402708530545516,0.336054880867502,0.131348595654571,0.138971390963728,-0.141030325515771,0.403727516824912,0.344583089737591,0,0.467459560985439,0.642779994318198,0.582095061502637,0.733528154067444
"121","CD276",-0.0624720843992828,0.116689030320546,0.592392382126629,"Melanoma",-0.0753693939557413,0.127915031387671,-0.326078248556887,0.175339460645404,0.555717377310503,-0.0753680461048664,0.12791641514586,-0.326079612822225,0.175343520612493,0.555728720130538,0,0.474877144334447,0.803991203082371,0.756968871530485,0.715486903088006
"122","NKG7",-0.29753528040439,0.125521459188087,0.0177691510779229,"Melanoma",-0.252017191368083,0.258831670954179,-0.759317944496596,0.255283561760431,0.330219346152003,-0.252017191368083,0.258831670954179,-0.759317944496596,0.255283561760431,0.330219346152003,0,0.631741535657444,0.628064246602828,0.582095061502637,0.0569838293188563
"123","ARRDC2",-0.125136901627767,0.11930228832123,0.294221323609194,"Melanoma",-0.0998815237354493,0.154570390307294,-0.402833921814045,0.203070874343146,0.518157642014365,-0.111343620102957,0.217219767739522,-0.537086541602576,0.314399301396661,0.608241566051456,0.460020524638326,0.0849899184518304,0.839154682155654,0.750168526498408,0.42754036086961
"124","CD69",-0.31344613365964,0.124345918910513,0.0117101918469683,"Melanoma",-0.317717008044278,0.192905768800066,-0.695805367302417,0.0603713512138606,0.0995567599452376,-0.317717008044278,0.192905768800066,-0.695805367302417,0.0603713512138606,0.0995567599452376,0,0.763567895967423,0.327757820894228,0.268250158741335,0.0388945657774304
"125","CD83",-0.358482235499547,0.139419933056179,0.0101334807708271,"Melanoma",-0.455071602555927,0.191869712894771,-0.831129329553719,-0.0790138755581345,0.0177029137676836,-0.45726310370736,0.195296292840864,-0.840036803989642,-0.0744894034250786,0.0192125300461118,0.0513214558090189,0.383768872404906,0.232901169873506,0.116900501116685,0.0349042115439599
"126","PRDM2",-0.24317927832823,0.121122606702186,0.0446739333503857,"Melanoma",-0.208351793032703,0.134538687103073,-0.47204277428203,0.0553391882166241,0.121468641093461,-0.208352844757114,0.134540562786884,-0.472047502279156,0.0553418127649284,0.121471953885422,0.157839439552485,0.305891434207774,0.36951021828811,0.318444815839614,0.101442103380492
"127","NR4A3",-0.191799888989789,0.11946508260566,0.108386208150447,"Melanoma",-0.101957924586546,0.170785502845764,-0.436691359245807,0.232775510072715,0.550511370465356,-0.101957924586546,0.170785502845764,-0.436691359245807,0.232775510072715,0.550511370465356,0,0.667474814557534,0.803991203082371,0.756968871530485,0.223998163510924
"128","YPEL5",0.0296179875049303,0.115179103279091,0.797065117834359,"Melanoma",-0.204727887268574,0.209787407165444,-0.615903649722883,0.206447875185735,0.329122629342664,-0.201157154021803,0.219101642105346,-0.630588481501865,0.228274173458259,0.358566666809103,0.0787151512856836,0.361724755264005,0.6440919755645,0.582095061502637,0.861942511146458
"129","BCL11A",-0.160808116130679,0.119991693967095,0.180193204098161,"Melanoma",-0.279178688109747,0.206138006918571,-0.683201757515015,0.12484438129552,0.175631426690512,-0.28019576718589,0.209075423415851,-0.68997606713342,0.12958453276164,0.18019139308693,0,0.470964316249384,0.426306466571517,0.384349554437123,0.322268615021711
"130","HSPH1",-0.126466471685395,0.11657317414279,0.277980254166655,"Melanoma",-0.0884931179747145,0.132693099878773,-0.348566814734086,0.171580578784657,0.504835579295423,-0.0723649972170133,0.17833629971183,-0.421897721788341,0.277167727354314,0.684905517994986,0.387242919907184,0.121172583529573,0.871756594342657,0.743242677760546,0.416970381249983
"131","LY9",-0.464172778442613,0.132968521186228,0.00048149169683292,"Melanoma",-0.644302895199155,0.226101690586514,-1.08745406559234,-0.201151724805968,0.0043772101651932,-0.713937668972523,0.341647259279314,-1.3835539925768,-0.0443213453682506,0.0366454433708773,0.508181815374632,0.0868229230284809,0.240211606453963,0.0670727124095964,0.00439572713541864
"132","CKS2",-0.0888252603238244,0.119895565222518,0.458781204240856,"Melanoma",0.127814802509626,0.176353546511653,-0.217831797199122,0.473461402218375,0.468596474180675,0.127813272168942,0.176358700187731,-0.217843428559307,0.473469972897192,0.468614794249136,0.353150247838163,0.171770821984451,0.736654669634541,0.711753147771598,0.609523599919994
"133","DDX27",-0.134541301474796,0.120563335258074,0.264448339854951,"Melanoma",-0.0260793038140806,0.167119194865765,-0.353626906876311,0.301468299248149,0.875991942543912,0.0066895062662963,0.232787472801069,-0.449565556475896,0.462944569008488,0.977074714568749,0.449794265039709,0.0913568987276359,0.996290200179654,0.928812188900102,0.416970381249983
